5119030,Gairloch High School,1973-5-5,Achtercairn Gairloch,01445 712275 01445 712318 Secondary 226 25.2 Integrated SEN Unit Open
5119138,Dingwall Academy,1991-4-26,Dingwall,01349 863071 01349 865005 Secondary 1049 88.4 Integrated SEN Unit Open
5119332,Fortrose Academy,1849-6-18,Academy Street Fortrose Ross-shire,01381 620310 01381 621699 Secondary 639 49.2 Open
5119634,Invergordon Academy,1821-1-8,Academy Road Invergordon,01349 852362 01349 853748 Secondary 411 37.7 Integrated SEN Unit Open
5119839,Tain Royal Academy,1809-9-28,Scotsburn Road Tain,01862 892121 01862 893334 Secondary 650 56.2 Open
5119936,Ullapool High School,1858-10-10,Quay Street Ullapool,01854 612078 01854 612793 Secondary 235 28.4 Integrated SEN Unit Open
5120047,St Clement's School,1874-2-28,Tulloch Street Dingwall,01349 863284 Special 37 6.8 Open
5120136,Alness Academy,1806-9-16,Alness,01349 883341/883659 01349 882614 Secondary 523 55.6 Integrated SEN Unit Open
5120225,Craighill Primary School,1958-8-6,Craighill Terrace Tain,01862 892663 01862 892663 Primary 300 18.1 Open
5120527,Park Primary School,1974-12-11,Albany Road Invergordon,01349 852037 01349 854424 Primary 269 16.2 Open
5120624,Milton Primary School,1936-2-20,Kildary Invergordon,01862 842537 01862 842537 Primary 93 6.9 Open
5120748,St Duthus School,1898-7-22,Academy Street Tain,01862 894407 Special 11 1.8 Open
5120829,Scoraig Primary School,1929-11-15,Scoraig Dundonnell Garve,01854 633261 Primary 14 1.0 Open
5121442,Black Isle Education Centre,1996-4-1,Raddery By Fortrose Ross-shire,01381 621600 Special 12 5.0 Open
5122821,Loch Duich Primary School,1887-10-2,Kyle Of Lochalsh,01599 511379 Primary 19 2.3 Open
